nodes, dimension, seconds, instances
1251,200,0.014504307692307022,15
1301,200,0.01293530769230791,15
1351,200,0.017235307692307453,15
1401,200,0.01570169230769107,15
1451,200,0.017794923076921192,15
1501,200,0.01820515384615362,15
1551,200,0.018950923076923996,15
1601,200,0.01755930769230765,15
1651,200,0.017723384615385713,15
1701,200,0.019887692307693126,15
1751,200,0.020468538461538142,15
1801,200,0.020921230769228753,15
1851,200,0.021064846153844467,15
1901,200,0.023242692307692235,15
1951,200,0.021778153846154915,15
2001,200,0.022540769230768812,15
2051,200,0.02478538461538558,15
2101,200,0.023375153846152748,15
2151,200,0.02277338461538337,15
2201,200,0.027176769230763398,15
2251,200,0.026071923076923572,15
2301,200,0.026171999999998155,15
2351,200,0.02640069230769134,15
2401,200,0.0268289999999955,15
2451,200,0.026944076923075936,15
2501,200,0.0253696923076905,15
101,250,0.0046011538461527834,15
151,250,0.004905384615383923,15
201,250,0.005304384615385516,15
251,250,0.005846692307692627,15
301,250,0.0062560769230777585,15
351,250,0.006489846153842704,15
401,250,0.0069649999999928,15
451,250,0.0074077692307700825,15
501,250,0.007676153846155933,15
551,250,0.00838092307691887,15
601,250,0.010294384615381073,15
651,250,0.008623615384612785,15
701,250,0.008984076923078113,15
751,250,0.011382846153844857,15
801,250,0.011658538461538534,15
851,250,0.012230769230769694,15
901,250,0.010462076923080698,15
951,250,0.012745461538462276,15
1001,250,0.013156307692310722,15
1051,250,0.013406999999999742,15
1101,250,0.01580646153846251,15
1151,250,0.012489538461536016,15
1201,250,0.014819615384611167,15
1251,250,0.0151920769230779,15
1301,250,0.01377199999999863,15
1351,250,0.014180076923076093,15
1401,250,0.016345307692305893,15
1451,250,0.016846461538465772,15
1501,250,0.017008461538461226,15
1551,250,0.015358692307691294,15
1601,250,0.0197048461538484,15
1651,250,0.02003853846153775,15
1701,250,0.020304230769228254,15
1751,250,0.02067246153846178,15
1801,250,0.01940269230769222,15
1851,250,0.023467999999996235,15
1901,250,0.02171084615384827,15
1951,250,0.022247461538463235,15
2001,250,0.02450530769231289,15
2051,250,0.02328815384615268,15
2101,250,0.025628384615386652,15
2151,250,0.02546284615384746,15
2201,250,0.02572553846153898,15
2251,250,0.026444153846155744,15
2301,250,0.026834692307689832,15
2351,250,0.026922076923073544,15
2401,250,0.027076307692305172,15
2451,250,0.025556999999999712,15
2501,250,0.0302363846153847,15
