nodes, dimension, seconds, instances
451,200,0.12217515384615424,15
501,200,0.12305492307693446,15
551,200,0.12337399999999941,15
601,200,0.12345838461538741,15
651,200,0.12184930769230654,15
701,200,0.12475053846153863,15
751,200,0.1238886153846251,15
801,200,0.12522469230769126,15
851,200,0.12510130769230116,15
901,200,0.12573269230768985,15
951,200,0.12405276923076677,15
1001,200,0.12719876923076884,15
1051,200,0.12704061538462078,15
1101,200,0.12917846153846513,15
1151,200,0.12597307692306878,15
1201,200,0.12735107692307898,15
1251,200,0.1307001538461634,15
1301,200,0.12959546153845955,15
1351,200,0.1315662307692334,15
1401,200,0.13076976923075387,15
1451,200,0.13038061538462933,15
1501,200,0.13144969230769185,15
1551,200,0.13429300000000063,15
1601,200,0.13361199999999285,15
1651,200,0.13648376923077002,15
1701,200,0.1347956153846151,15
1751,200,0.13337130769230482,15
1801,200,0.13596084615386417,15
1851,200,0.13774507692306331,15
1901,200,0.138161230769229,15
1951,200,0.13659938461536897,15
2001,200,0.13991884615385375,15
2051,200,0.14284453846154904,15
2101,200,0.14095384615385106,15
2151,200,0.1387135384615415,15
2201,200,0.14003861538460918,15
2251,200,0.14389061538460843,15
2301,200,0.14264123076922558,15
2351,200,0.1414348461538391,15
2401,200,0.1468656923076948,15
2451,200,0.13981692307691254,15
2501,200,0.14048107692308612,15
101,250,0.1796481538461395,15
151,250,0.18019953846154435,15
201,250,0.18018730769230948,15
251,250,0.1825638461538469,15
301,250,0.18325500000000916,15
351,250,0.18264707692307744,15
401,250,0.18360884615383208,15
451,250,0.18344846153846325,15
501,250,0.18374238461537884,15
551,250,0.185055769230775,15
601,250,0.18814515384616032,15
651,250,0.18555969230769384,15
701,250,0.18570130769230148,15
751,250,0.18365930769230615,15
801,250,0.18573507692308602,15
851,250,0.18770330769231472,15
901,250,0.18825246153847258,15
951,250,0.18834138461538977,15
1001,250,0.18923023076923493,15
1051,250,0.18750046153846037,15
1101,250,0.18561007692307369,15
1151,250,0.1924227692307673,15
1201,250,0.18577938461536492,15
1251,250,0.18908523076922934,15
1301,250,0.19127115384615168,15
1351,250,0.19353946153845614,15
1401,250,0.193171999999991,15
1451,250,0.19078200000001727,15
1501,250,0.19376915384615884,15
1551,250,0.19429176923076213,15
1601,250,0.19524800000000544,15
1651,250,0.19416369230768937,15
1701,250,0.195694923076937,15
1751,250,0.1953151538461559,15
1801,250,0.1979313076923159,15
1851,250,0.19750376923076374,15
1901,250,0.20140469230771557,15
1951,250,0.1976232307692341,15
2001,250,0.19576969230768798,15
2051,250,0.19923307692307354,15
2101,250,0.19671361538460658,15
2151,250,0.2000841538461355,15
2201,250,0.1988644615384706,15
2251,250,0.2028148461538334,15
2301,250,0.20044800000000754,15
2351,250,0.20277738461541397,15
