nodes, dimension, seconds, instances
1351,100,0.6735995833333561,14
1401,100,0.7174831538461691,15
1451,100,0.7434749230769214,15
1501,100,0.8157273076923187,15
1551,100,0.863505769230738,15
1601,100,0.942502384615409,15
1651,100,0.9919238461538603,15
1701,100,1.0319119999999726,15
1751,100,1.0987053076922848,15
1801,100,1.1563444615384242,15
1851,100,1.2138291538461596,15
1901,100,1.276966538461553,15
1951,100,1.3497161538461586,15
2001,100,1.436542846153849,15
2051,100,1.4678313076922835,15
2101,100,1.4906813076923107,15
2151,100,1.680777692307699,15
2201,100,1.6856946153846086,15
2251,100,1.7882319230769257,15
2301,100,1.8481942307692565,15
2351,100,1.9562248461538467,15
2401,100,2.0242858461538598,15
2451,100,2.117137307692351,15
2501,100,2.133515000000006,15
101,150,0.01223900000001357,15
151,150,0.021448923076919667,15
201,150,0.028524769230741116,15
251,150,0.042421923076937255,15
301,150,0.0606083076923264,15
351,150,0.0814188461539603,15
401,150,0.08841084615383246,15
451,150,0.125027153846129,15
501,150,0.1355541538461099,15
551,150,0.1607966153846099,15
601,150,0.17682330769231996,15
651,150,0.2419979230768289,15
701,150,0.2584675384615331,15
751,150,0.2595216153846335,15
801,150,0.2951985384615035,15
851,150,0.3776608461538707,15
901,150,0.3891934615385253,15
951,150,0.47912169230770674,15
1001,150,0.4657763846153802,15
1051,150,0.5347184615385371,15
1101,150,0.547666307692295,15
1151,150,0.6089094615384301,15
1201,150,0.6824031538461406,15
1251,150,0.6843301538461114,15
1301,150,0.7400111666666666,14
1351,150,0.8279631538461777,15
1401,150,0.9474519230769042,15
1451,150,0.97001530769234,15
1501,150,0.9942632307692503,15
1551,150,1.0771131538461374,15
1601,150,1.1603363846153605,15
1651,150,1.2889912307692402,15
1701,150,1.3007727692307491,15
1751,150,1.3416822307691956,15
1801,150,1.4865598461538831,15
1851,150,1.5548711538462017,15
1901,150,1.6063190000000025,15
1951,150,1.7580048461537934,15
2001,150,1.7976357692307725,15
2051,150,1.9527454615384754,15
2101,150,2.03221600000001,15
2151,150,2.068986615384679,15
2201,150,2.171559769230778,15
2251,150,2.2376409230769414,15
2301,150,2.301347538461571,15
2351,150,2.3348890769230612,15
2401,150,2.5497447692308084,15
2451,150,2.62478869230771,15
2501,150,2.8338243076923217,15
101,200,0.014643923077003889,15
151,200,0.020927307692230758,15
201,200,0.036810384615399434,15
251,200,0.05108723076916878,15
301,200,0.08045961538461527,15
351,200,0.09195261538465835,15
401,200,0.11456469230765484,15
451,200,0.1380916153846276,15
501,200,0.16512123076922064,15
551,200,0.2202837692308234,15
601,200,0.23374884615392288,15
651,200,0.270663769230798,15
701,200,0.32208738461536784,15
751,200,0.3864943076923737,15
801,200,0.386706846153874,15
851,200,0.43665907692303124,15
901,200,0.5018456153846343,15
951,200,0.5970123846154645,15
1001,200,0.6633243076923568,15
1051,200,0.6287445384615554,15
1101,200,0.8285475384614773,15
1151,200,0.7740174615384533,15
1201,200,0.7841956153845681,15
1251,200,0.8515620769230736,15
1301,200,0.9432100769230636,15
1351,200,1.0332389230769212,15
1401,200,1.1205142307691962,15
1451,200,1.1394766153846025,15
1501,200,1.2976412307692289,15
1551,200,1.305099769230817,15
1601,200,1.403730538461437,15
1651,200,1.5144906153846023,15
1701,200,1.5969716153845184,15
1751,200,1.6509554615384052,15
1801,200,1.7107682307691203,15
1851,200,1.9238251538461275,15
1901,200,1.9251865384615554,15
1951,200,2.0114290000001347,15
2001,200,2.1886066923076353,15
2051,200,2.22872369230761,15
2101,200,2.3991733846154464,15
2151,200,2.474098538461546,15
2201,200,2.705153692307774,15
2251,200,2.716248769230648,15
2301,200,2.9317046923076933,15
2351,200,2.9725045384616,15
2401,200,3.423920000000145,15
2451,200,3.1074903846153856,15
2501,200,3.175011769230738,15
101,250,0.015790923076985146,15
151,250,0.027010692307752694,15
201,250,0.039405461538395824,15
251,250,0.07217430769224638,15
301,250,0.103204461538553,15
351,250,0.11560046153831885,15
401,250,0.1426717692307088,15
451,250,0.18780384615386608,15
501,250,0.23728707692313178,15
551,250,0.3552599230768185,15
601,250,0.2979016923076625,15
651,250,0.3893265384615286,15
701,250,0.40163915384615534,15
751,250,0.5093296923077665,15
801,250,0.5339396153846372,15
851,250,0.6735180000000932,15
901,250,0.5200512307692406,15
951,250,0.6032560000000138,15
1001,250,0.7711697692307797,15
1051,250,0.8585472307693356,15
1101,250,0.8323837692307909,15
1151,250,1.0295133846153965,15
1201,250,1.0794122307691816,15
1251,250,1.079976307692155,15
1301,250,1.3238468461539434,15
1351,250,1.4408104615383588,15
1401,250,1.429352538461549,15
1451,250,1.7515818461538402,15
1501,250,1.4782895384616426,15
1551,250,1.5201284615385213,15
1601,250,1.8625520769230137,15
1651,250,1.7686976153845886,15
1701,250,2.0920533076923675,15
1751,250,2.095168923077031,15
1801,250,2.13768869230762,15
1851,250,2.398708307692267,15
1901,250,2.4728519230769472,15
1951,250,2.291794230769273,15
2001,250,2.475981307692354,15
2051,250,2.985834000000068,15
2101,250,2.8205616153845066,15
2151,250,2.90894046153835,15
2201,250,3.157148615384568,15
2251,250,3.514179846153883,15
2301,250,3.3574558461537682,15
2351,250,3.430959769230797,15
2401,250,3.7552459230769974,15
2451,250,4.058940615384577,15
2501,250,3.7880468333334725,14
